t,n,short source,long source
0, 0, ID, ID($0$)
1, 1, ID, ID($1$)
2, 2, ID, ID($2$)
3, 3, ID, ID($3$)
4, 6, Sperner, Sp($4$)
5, 10, Sperner, Sp($5$)
6, 20, Sperner, Sp($6$)
7, 35, Sperner, Sp($7$)
8, 70, Sperner, Sp($8$)
9, 126, Sperner, Sp($9$)
10, 252, Sperner, Sp($10$)
11, 462, Sperner, Sp($11$)
12, 924, Sperner, Sp($12$)
13, 1716, Sperner, Sp($13$)
14, 3432, Sperner, Sp($14$)
15, 6435, Sperner, Sp($15$)
16, 12870, Sperner, Sp($16$)
17, 24310, Sperner, Sp($17$)
18, 48620, Sperner, Sp($18$)
19, 92378, Sperner, Sp($19$)
20, 184756, Sperner, Sp($20$)
21, 352716, Sperner, Sp($21$)
22, 705432, Sperner, Sp($22$)
23, 1352078, Sperner, Sp($23$)
24, 2704156, Sperner, Sp($24$)
25, 5200300, Sperner, Sp($25$)
26, 10400600, Sperner, Sp($26$)
27, 20058300, Sperner, Sp($27$)
28, 40116600, Sperner, Sp($28$)
29, 77558760, Sperner, Sp($29$)
30, 155117520, Sperner, Sp($30$)
31, 300540195, Sperner, Sp($31$)
32, 601080390, Sperner, Sp($32$)
33, 1166803110, Sperner, Sp($33$)
34, 2333606220, Sperner, Sp($34$)
35, 4537567650, Sperner, Sp($35$)
36, 9075135300, Sperner, Sp($36$)
37, 17672631900, Sperner, Sp($37$)
38, 35345263800, Sperner, Sp($38$)
39, 68923264410, Sperner, Sp($39$)
40, 137846528820, Sperner, Sp($40$)
41, 269128937220, Sperner, Sp($41$)
42, 538257874440, Sperner, Sp($42$)
43, 1052049481860, Sperner, Sp($43$)
44, 2104098963720, Sperner, Sp($44$)
45, 4116715363800, Sperner, Sp($45$)
46, 8233430727600, Sperner, Sp($46$)
47, 16123801841550, Sperner, Sp($47$)
48, 32247603683100, Sperner, Sp($48$)
49, 63205303218876, Sperner, Sp($49$)
50, 126410606437752, Sperner, Sp($50$)
51, 247959266474052, Sperner, Sp($51$)
52, 495918532948104, Sperner, Sp($52$)
53, 973469712824056, Sperner, Sp($53$)
54, 1946939425648112, Sperner, Sp($54$)
55, 3824345300380220, Sperner, Sp($55$)
56, 7648690600760440, Sperner, Sp($56$)
57, 15033633249770520, Sperner, Sp($57$)
58, 30067266499541040, Sperner, Sp($58$)
59, 59132290782430712, Sperner, Sp($59$)
60, 118264581564861424, Sperner, Sp($60$)
61, 232714176627630544, Sperner, Sp($61$)
62, 465428353255261088, Sperner, Sp($62$)
63, 916312070471295267, Sperner, Sp($63$)
64, 1832624140942590534, Sperner, Sp($64$)
65, 3609714217008132870, Sperner, Sp($65$)
66, 7219428434016265740, Sperner, Sp($66$)
