t,n,short source,long source
0, 0, ID, ID($0$)
1, 1, ID, ID($1$)
2, 2, ID, ID($2$)
3, 3, ID, ID($3$)
4, 4, ID, ID($4$)
5, 5, ID, ID($5$)
6, 6, ID, ID($6$)
7, 7, ID, ID($7$)
8, 8, ID, ID($8$)
9, 12, STS, STS($9$)
10, 13, Constant-weight binary code, Survey CFF 10
11, 17, Constant-weight binary code, Survey CFF 11
12, 20, Constant-weight binary code, Survey CFF 12
13, 26, Constant-weight binary code, Survey CFF 13
14, 28, Constant-weight binary code, Survey CFF 14
15, 42, Constant-weight binary code, Survey CFF 15
16, 48, Constant-weight binary code, Survey CFF 16
17, 68, Constant-weight binary code, Survey CFF 17
18, 69, Constant-weight binary code, Survey CFF 18
19, 76, Constant-weight binary code, Survey CFF 19
20, 90, Constant-weight binary code, Survey CFF 20
21, 120, Constant-weight binary code, Survey CFF 21
22, 176, Constant-weight binary code, Survey CFF 22
23, 253, Constant-weight binary code, Survey CFF 23
24, 254, Extension by one, Extension by one of $23$
25, 255, Extension by one, Extension by one of $24$
26, 256, Extension by one, Extension by one of $25$
27, 257, Extension by one, Extension by one of $26$
28, 258, Extension by one, Extension by one of $27$
29, 259, Extension by one, Extension by one of $28$
30, 260, Extension by one, Extension by one of $29$
31, 261, Extension by one, Extension by one of $30$
32, 265, Additive, Add($9$,$23$)
33, 266, Additive, Add($9$,$24$)
34, 352, Doubling, Dbl($22$,$10$)
35, 506, Doubling, Dbl($23$,$11$)
36, 508, Doubling, Dbl($24$,$11$)
37, 510, Doubling, Dbl($25$,$11$)
38, 512, Doubling, Dbl($26$,$11$)
39, 514, Doubling, Dbl($27$,$11$)
40, 516, Doubling, Dbl($28$,$11$)
41, 518, Doubling, Dbl($29$,$11$)
42, 520, Doubling, Dbl($30$,$11$)
43, 522, Doubling, Dbl($31$,$11$)
44, 530, Doubling, Dbl($32$,$11$)
45, 729, Reed-Solomon, RS($3^{2}$,$3$,$5$)
46, 730, Extension by one, Extension by one of $45$
47, 731, Extension by one, Extension by one of $46$
48, 732, Extension by one, Extension by one of $47$
49, 2401, Reed-Solomon, RS($7^{1}$,$4$,$7$)
50, 2402, Extension by one, Extension by one of $49$
51, 2403, Extension by one, Extension by one of $50$
52, 2404, Extension by one, Extension by one of $51$
53, 2405, Extension by one, Extension by one of $52$
54, 2406, Extension by one, Extension by one of $53$
55, 2407, Extension by one, Extension by one of $54$
56, 4096, Reed-Solomon, RS($2^{3}$,$4$,$7$)
57, 4097, Extension by one, Extension by one of $56$
58, 4098, Extension by one, Extension by one of $57$
59, 4099, Extension by one, Extension by one of $58$
60, 4100, Extension by one, Extension by one of $59$
61, 4101, Extension by one, Extension by one of $60$
62, 4102, Extension by one, Extension by one of $61$
63, 6561, Reed-Solomon, RS($3^{2}$,$4$,$7$)
64, 6562, Extension by one, Extension by one of $63$
65, 6563, Extension by one, Extension by one of $64$
66, 6564, Extension by one, Extension by one of $65$
