t,n,short source,long source
0, 0, ID, ID($0$)
1, 1, ID, ID($1$)
2, 2, ID, ID($2$)
3, 3, ID, ID($3$)
4, 4, ID, ID($4$)
5, 5, ID, ID($5$)
6, 6, ID, ID($6$)
7, 7, ID, ID($7$)
8, 8, ID, ID($8$)
9, 9, ID, ID($9$)
10, 10, ID, ID($10$)
11, 11, ID, ID($11$)
12, 12, ID, ID($12$)
13, 13, ID, ID($13$)
14, 14, ID, ID($14$)
15, 15, ID, ID($15$)
16, 16, ID, ID($16$)
17, 17, ID, ID($17$)
18, 18, ID, ID($18$)
19, 19, ID, ID($19$)
20, 25, Reed-Solomon, RS($5^{1}$,$2$,$4$)
21, 26, Extension by one, Extension by one of $20$
22, 27, Extension by one, Extension by one of $21$
23, 28, Extension by one, Extension by one of $22$
24, 29, Extension by one, Extension by one of $23$
25, 30, Extension by one, Extension by one of $24$
26, 31, Extension by one, Extension by one of $25$
27, 32, Extension by one, Extension by one of $26$
28, 49, Reed-Solomon, RS($7^{1}$,$2$,$4$)
29, 50, Extension by one, Extension by one of $28$
30, 51, Extension by one, Extension by one of $29$
31, 52, Extension by one, Extension by one of $30$
32, 64, Reed-Solomon, RS($2^{3}$,$2$,$4$)
33, 65, Extension by one, Extension by one of $32$
34, 66, Extension by one, Extension by one of $33$
35, 67, Extension by one, Extension by one of $34$
36, 81, Reed-Solomon, RS($3^{2}$,$2$,$4$)
37, 82, Extension by one, Extension by one of $36$
38, 83, Extension by one, Extension by one of $37$
39, 84, Extension by one, Extension by one of $38$
40, 85, Extension by one, Extension by one of $39$
41, 86, Extension by one, Extension by one of $40$
42, 87, Extension by one, Extension by one of $41$
43, 88, Extension by one, Extension by one of $42$
44, 121, Reed-Solomon, RS($11^{1}$,$2$,$4$)
45, 122, Extension by one, Extension by one of $44$
46, 123, Extension by one, Extension by one of $45$
47, 124, Extension by one, Extension by one of $46$
48, 125, Extension by one, Extension by one of $47$
49, 343, Reed-Solomon, RS($7^{1}$,$3$,$7$)
50, 344, Extension by one, Extension by one of $49$
51, 345, Extension by one, Extension by one of $50$
52, 346, Extension by one, Extension by one of $51$
53, 347, Extension by one, Extension by one of $52$
54, 348, Extension by one, Extension by one of $53$
55, 349, Extension by one, Extension by one of $54$
56, 512, Reed-Solomon, RS($2^{3}$,$3$,$7$)
57, 513, Extension by one, Extension by one of $56$
58, 514, Extension by one, Extension by one of $57$
59, 515, Extension by one, Extension by one of $58$
60, 516, Extension by one, Extension by one of $59$
61, 517, Extension by one, Extension by one of $60$
62, 518, Extension by one, Extension by one of $61$
63, 729, Reed-Solomon, RS($3^{2}$,$3$,$7$)
64, 730, Extension by one, Extension by one of $63$
65, 731, Extension by one, Extension by one of $64$
66, 732, Extension by one, Extension by one of $65$
67, 733, Extension by one, Extension by one of $66$
68, 734, Extension by one, Extension by one of $67$
69, 735, Extension by one, Extension by one of $68$
70, 736, Extension by one, Extension by one of $69$
