t,n,short source,long source
0, 0, ID, ID($0$)
1, 1, ID, ID($1$)
2, 2, ID, ID($2$)
3, 3, ID, ID($3$)
4, 4, ID, ID($4$)
5, 5, ID, ID($5$)
6, 6, ID, ID($6$)
7, 7, ID, ID($7$)
8, 8, ID, ID($8$)
9, 9, ID, ID($9$)
10, 10, ID, ID($10$)
11, 11, ID, ID($11$)
12, 12, ID, ID($12$)
13, 13, ID, ID($13$)
14, 14, ID, ID($14$)
15, 15, ID, ID($15$)
16, 16, ID, ID($16$)
17, 17, ID, ID($17$)
18, 18, ID, ID($18$)
19, 19, ID, ID($19$)
20, 20, ID, ID($20$)
21, 21, ID, ID($21$)
22, 22, ID, ID($22$)
23, 23, ID, ID($23$)
24, 24, ID, ID($24$)
25, 25, ID, ID($25$)
26, 26, ID, ID($26$)
27, 27, ID, ID($27$)
28, 28, ID, ID($28$)
29, 29, ID, ID($29$)
30, 30, ID, ID($30$)
31, 31, ID, ID($31$)
32, 32, ID, ID($32$)
33, 33, ID, ID($33$)
34, 34, ID, ID($34$)
35, 35, ID, ID($35$)
36, 36, ID, ID($36$)
37, 37, ID, ID($37$)
38, 38, ID, ID($38$)
39, 39, ID, ID($39$)
40, 40, ID, ID($40$)
41, 41, ID, ID($41$)
42, 42, ID, ID($42$)
43, 43, ID, ID($43$)
44, 44, ID, ID($44$)
45, 45, ID, ID($45$)
46, 46, ID, ID($46$)
47, 47, ID, ID($47$)
48, 48, ID, ID($48$)
49, 49, ID, ID($49$)
50, 50, ID, ID($50$)
51, 51, ID, ID($51$)
52, 52, ID, ID($52$)
53, 53, ID, ID($53$)
54, 54, ID, ID($54$)
55, 55, ID, ID($55$)
56, 64, Reed-Solomon, RS($2^{3}$,$2$,$7$)
57, 65, Extension by one, Extension by one of $56$
58, 66, Extension by one, Extension by one of $57$
59, 67, Extension by one, Extension by one of $58$
60, 68, Extension by one, Extension by one of $59$
61, 69, Extension by one, Extension by one of $60$
62, 70, Extension by one, Extension by one of $61$
63, 81, Reed-Solomon, RS($3^{2}$,$2$,$7$)
64, 82, Extension by one, Extension by one of $63$
65, 83, Extension by one, Extension by one of $64$
66, 84, Extension by one, Extension by one of $65$
67, 85, Extension by one, Extension by one of $66$
68, 86, Extension by one, Extension by one of $67$
69, 87, Extension by one, Extension by one of $68$
70, 88, Extension by one, Extension by one of $69$
71, 89, Extension by one, Extension by one of $70$
72, 90, Extension by one, Extension by one of $71$
73, 91, Extension by one, Extension by one of $72$
74, 92, Extension by one, Extension by one of $73$
75, 93, Extension by one, Extension by one of $74$
76, 94, Extension by one, Extension by one of $75$
77, 121, Reed-Solomon, RS($11^{1}$,$2$,$7$)
78, 122, Extension by one, Extension by one of $77$
79, 123, Extension by one, Extension by one of $78$
80, 124, Extension by one, Extension by one of $79$
81, 125, Extension by one, Extension by one of $80$
82, 126, Extension by one, Extension by one of $81$
83, 127, Extension by one, Extension by one of $82$
84, 128, Extension by one, Extension by one of $83$
